,web_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,ict_index_rank,chance_of_playing_next_round,position,club,elite_selected,change,ovr_selected
0,Özil,1,3,0.6,68,0,3323,0.0,0,601,0.0,Midfielder,Arsenal,,,
1,Sokratis,1,2,0.1,49,0,10217,0.0,0,561,0.0,Defender,Arsenal,,,
2,David Luiz,1,2,1.0,55,319,36033,1.3,7,284,100.0,Defender,Arsenal,,,
3,Aubameyang,1,3,12.4,117,806,454342,2.8,33,39,100.0,Midfielder,Arsenal,0.011000000000000001,-0.001,0.128
4,Cédric,1,2,0.2,47,0,3024,0.0,0,540,100.0,Defender,Arsenal,,,
5,Lacazette,1,4,3.1,83,485,266926,3.3,27,61,,Forward,Arsenal,,,
6,Mustafi,1,2,0.0,50,44,11026,0.4,2,395,100.0,Defender,Arsenal,,,
7,Leno,1,1,8.9,50,810,381183,7.6,38,160,,Goalkeeper,Arsenal,0.004,-0.001,0.08900000000000001
8,Xhaka,1,3,0.5,53,497,21641,2.5,13,245,,Midfielder,Arsenal,,,
9,Marí,1,2,0.0,44,0,303,0.0,0,482,25.0,Defender,Arsenal,,,
10,Bellerín,1,2,8.4,51,810,520983,8.4,43,93,,Defender,Arsenal,0.071,-0.001,0.083
11,Chambers,1,2,0.0,45,0,373,0.0,0,514,25.0,Defender,Arsenal,,,
12,Kolasinac,1,2,0.2,48,90,4726,0.4,2,394,0.0,Defender,Arsenal,,,
13,Maitland-Niles,1,2,1.0,47,188,47039,2.1,10,360,,Defender,Arsenal,,,
14,Holding,1,2,1.3,44,540,175216,4.8,21,254,100.0,Defender,Arsenal,0.004,-0.002,0.013000000000000001
15,Tierney,1,2,5.1,54,710,120713,4.8,26,111,100.0,Defender,Arsenal,0.001,-0.002,0.051
16,Pépé,1,3,0.8,76,277,22049,1.4,11,204,0.0,Midfielder,Arsenal,,,
17,Torreira,1,3,0.1,47,0,3279,0.0,0,543,0.0,Midfielder,Arsenal,,,
18,Willock,1,3,0.1,48,56,2676,0.2,1,405,,Midfielder,Arsenal,,,
19,Nelson,1,3,0.0,52,45,1059,0.2,1,408,100.0,Midfielder,Arsenal,,,
20,Nketiah,1,4,0.6,56,145,33117,2.7,15,236,,Forward,Arsenal,,,
21,Smith Rowe,1,3,0.2,44,0,13804,0.0,0,497,100.0,Midfielder,Arsenal,,,
22,Saka,1,3,2.7,53,543,111360,3.6,19,58,75.0,Midfielder,Arsenal,0.002,0.0,0.027999999999999997
23,Guendouzi,1,3,0.1,47,0,2603,0.0,0,544,0.0,Midfielder,Arsenal,,,
24,Martinelli,1,3,0.0,49,0,814,0.0,0,571,0.0,Midfielder,Arsenal,,,
25,Saliba,1,2,0.8,41,0,23771,0.0,0,454,,Defender,Arsenal,0.002,-0.001,0.008
26,Willian,1,3,4.5,77,556,746804,3.6,28,118,75.0,Midfielder,Arsenal,,,
27,Gabriel,1,2,11.3,51,720,887979,7.3,37,99,,Defender,Arsenal,0.002,0.002,0.113
28,Ceballos,1,3,1.2,49,527,119437,4.1,20,90,100.0,Midfielder,Arsenal,,,
29,Elneny,1,3,1.5,44,450,199113,2.7,12,256,0.0,Midfielder,Arsenal,,,
30,Macey,1,1,1.4,40,0,108965,0.0,0,437,,Goalkeeper,Arsenal,0.003,0.0,0.015
31,Rúnarsson,1,1,0.0,45,0,1283,0.0,0,516,,Goalkeeper,Arsenal,,,
32,Partey,1,3,0.8,50,232,103931,1.2,6,291,0.0,Midfielder,Arsenal,,,
33,Martínez,2,1,27.6,48,720,1834562,8.5,41,159,,Goalkeeper,Aston Villa,0.58,0.034,0.278
34,Heaton,2,1,0.0,45,0,1064,0.0,0,507,25.0,Goalkeeper,Aston Villa,,,
35,El Mohamady,2,2,0.3,43,33,7928,0.5,2,363,,Defender,Aston Villa,,,
36,Lansbury,2,3,0.1,44,0,4440,0.0,0,474,0.0,Midfielder,Aston Villa,,,
37,Taylor,2,2,0.2,43,0,9393,0.0,0,457,,Defender,Aston Villa,0.133,-0.023,0.03
38,Steer,2,1,5.4,40,0,186014,0.0,0,434,,Goalkeeper,Aston Villa,0.285,-0.052000000000000005,0.054000000000000006
39,Hourihane,2,3,0.2,60,152,22563,3.0,18,199,,Midfielder,Aston Villa,,,
40,Jota,2,3,0.0,59,0,1414,0.0,0,594,0.0,Midfielder,Aston Villa,0.069,0.05,0.11599999999999999
41,Nyland,2,1,8.1,40,0,143930,0.0,0,435,0.0,Goalkeeper,Aston Villa,0.078,-0.018000000000000002,0.081
42,Engels,2,2,0.1,44,0,10447,0.0,0,487,0.0,Defender,Aston Villa,,,
43,Grealish,2,3,40.5,76,720,2770763,8.0,61,4,,Midfielder,Aston Villa,0.8,0.231,0.40700000000000003
44,McGinn,2,3,2.3,55,720,251110,6.5,36,44,,Midfielder,Aston Villa,0.006999999999999999,0.0,0.023
45,Hause,2,2,0.0,44,0,733,0.0,0,490,100.0,Defender,Aston Villa,,,
46,Trézéguet,2,3,0.9,53,642,46919,4.3,23,38,,Midfielder,Aston Villa,,,
47,Mings,2,2,13.4,53,720,1000546,8.1,43,65,,Defender,Aston Villa,0.011000000000000001,0.006,0.138
48,Targett,2,2,2.8,45,720,210493,6.4,29,142,,Defender,Aston Villa,0.11,0.068,0.027999999999999997
49,Bree,2,2,0.0,45,0,9797,0.0,0,519,0.0,Defender,Aston Villa,,,
50,Nakamba,2,3,0.3,44,13,11723,0.2,1,389,,Midfielder,Aston Villa,,,
51,El Ghazi,2,3,0.1,58,18,3106,0.3,2,371,,Midfielder,Aston Villa,,,
52,Konsa,2,2,8.1,47,720,746442,9.1,43,104,,Defender,Aston Villa,0.051,-0.006,0.078
53,Guilbert,2,2,0.1,44,0,1247,0.0,0,495,0.0,Defender,Aston Villa,,,
54,Wesley,2,4,0.0,60,0,599,0.0,0,599,0.0,Forward,Aston Villa,,,
55,Samatta,2,4,0.0,59,0,1549,0.0,0,598,0.0,Forward,Aston Villa,,,
56,Davis,2,4,7.8,43,28,470676,0.2,1,373,100.0,Forward,Aston Villa,0.027000000000000003,-0.017,0.079
57,Vassilev,2,4,0.7,44,0,43574,0.0,0,500,0.0,Forward,Aston Villa,0.003,-0.002,0.006999999999999999
58,Douglas Luiz,2,3,0.3,49,689,16132,4.3,21,110,,Midfielder,Aston Villa,,,
59,Barkley,2,3,4.0,60,494,460057,5.3,32,23,75.0,Midfielder,Aston Villa,0.054000000000000006,-0.001,0.044000000000000004
60,Cash,2,2,0.7,50,685,51762,5.0,25,136,,Defender,Aston Villa,0.001,0.001,0.006999999999999999
61,Watkins,2,4,9.4,61,720,886851,8.0,49,10,,Forward,Aston Villa,0.28600000000000003,0.185,0.095
62,Traoré,2,3,0.0,59,139,6230,1.7,10,241,100.0,Midfielder,Aston Villa,,,
63,Ramsey,2,3,0.1,45,13,6183,0.2,1,529,,Midfielder,Aston Villa,,,
64,Murray,3,4,0.1,48,0,4541,0.0,0,545,0.0,Forward,Brighton,,,
65,Lallana,3,3,0.4,62,515,11404,3.1,19,95,75.0,Midfielder,Brighton,,,
66,Groß,3,3,0.1,58,342,3239,3.3,19,71,,Midfielder,Brighton,,,
67,Duffy,3,2,0.0,44,0,519,0.0,0,478,0.0,Defender,Brighton,,,
68,Pröpper,3,3,0.0,48,0,821,0.0,0,547,75.0,Midfielder,Brighton,,,
69,Mooy,3,3,0.0,50,0,9880,0.0,0,574,0.0,Midfielder,Brighton,,,
70,Burn,3,2,0.4,44,393,7303,2.7,12,281,,Defender,Brighton,,,
71,Dunk,3,2,2.7,48,540,62258,1.5,7,237,100.0,Defender,Brighton,0.001,0.0,0.027000000000000003
72,Montoya,3,2,0.0,45,0,160,0.0,0,513,0.0,Defender,Brighton,,,
73,Andone,3,4,0.1,48,0,11441,0.0,0,550,0.0,Forward,Brighton,,,
74,March,3,3,1.0,50,660,143204,7.0,35,41,100.0,Midfielder,Brighton,,,
75,Webster,3,2,1.8,44,810,47929,4.5,20,124,,Defender,Brighton,0.008,0.0,0.018000000000000002
76,Veltman,3,2,0.4,43,352,22671,3.0,13,231,,Defender,Brighton,,,
77,Maupay,3,4,3.7,64,709,604988,6.2,40,16,,Forward,Brighton,0.051,-0.027000000000000003,0.039
78,Trossard,3,3,1.1,60,588,244911,4.5,27,62,50.0,Midfielder,Brighton,0.008,-0.021,0.012
79,Ryan,3,1,13.5,45,720,359757,4.4,20,299,,Goalkeeper,Brighton,0.061,-0.006999999999999999,0.135
80,Jahanbakhsh,3,3,0.0,54,35,1200,1.1,6,278,100.0,Midfielder,Brighton,,,
81,Izquierdo,3,3,0.0,55,0,9844,0.0,0,589,25.0,Midfielder,Brighton,,,
82,Clarke,3,2,0.0,44,0,240,0.0,0,493,0.0,Defender,Brighton,,,
83,White,3,2,1.3,45,798,49813,4.4,20,174,100.0,Defender,Brighton,0.002,0.0,0.013000000000000001
84,Bernardo,3,2,8.5,39,25,215413,0.3,1,400,,Defender,Brighton,0.013999999999999999,0.011000000000000001,0.086
85,Bissouma,3,3,3.4,45,718,227112,4.2,19,150,100.0,Midfielder,Brighton,0.239,-0.040999999999999995,0.034
86,Lamptey,3,2,12.3,48,720,1075772,5.8,28,51,0.0,Defender,Brighton,0.514,0.027999999999999997,0.13
87,Connolly,3,4,0.4,53,288,62647,3.4,18,208,100.0,Forward,Brighton,,,
88,Alzate,3,3,0.8,45,350,113267,2.0,9,203,,Midfielder,Brighton,0.006999999999999999,-0.002,0.008
89,Mac Allister,3,3,0.0,53,43,2343,2.1,11,339,0.0,Midfielder,Brighton,,,
90,Walton,3,1,1.1,40,0,19090,0.0,0,436,75.0,Goalkeeper,Brighton,0.02,-0.004,0.011000000000000001
91,Steele,3,1,0.8,40,0,65282,0.0,0,432,,Goalkeeper,Brighton,0.023,0.0,0.008
92,Molumby,3,3,0.0,45,1,1392,0.2,1,526,,Midfielder,Brighton,,,
93,Zeqiri,3,4,0.0,50,0,2211,0.0,0,576,,Forward,Brighton,,,
94,Welbeck,3,4,0.1,55,191,8592,2.2,12,161,100.0,Forward,Brighton,,,
95,Sánchez,3,1,0.0,44,90,1469,0.2,1,385,,Goalkeeper,Brighton,,,
96,Stephens,4,3,6.0,44,202,218110,1.1,5,335,25.0,Midfielder,Burnley,0.043,-0.003,0.06
97,Tarkowski,4,2,2.5,54,494,36228,3.0,16,162,100.0,Defender,Burnley,,,
98,Bardsley,4,2,0.3,45,270,10561,0.2,1,340,100.0,Defender,Burnley,0.001,0.0,0.003
99,Pieters,4,2,0.3,43,140,18331,0.9,4,366,75.0,Defender,Burnley,,,
100,Cork,4,3,0.0,50,0,9963,0.0,0,572,0.0,Midfielder,Burnley,,,
101,Long,4,2,0.2,45,540,9378,2.4,11,257,100.0,Defender,Burnley,,,
102,Rodriguez,4,4,0.3,58,197,8847,1.6,9,323,100.0,Forward,Burnley,,,
103,Barnes,4,4,0.1,60,381,7557,1.5,9,154,100.0,Forward,Burnley,0.027000000000000003,-0.02,0.037000000000000005
104,Mee,4,2,0.2,49,134,4693,1.8,9,354,100.0,Defender,Burnley,,,
105,Westwood,4,3,0.5,53,674,10858,4.2,22,109,,Midfielder,Burnley,,,
106,Gudmundsson,4,3,0.0,54,217,10109,1.3,7,332,75.0,Midfielder,Burnley,,,
107,Wood,4,4,1.0,62,667,84002,3.7,23,121,,Forward,Burnley,0.002,-0.003,0.01
108,Lowton,4,2,0.1,44,314,3491,2.3,10,315,100.0,Defender,Burnley,0.001,0.001,0.001
109,Vydra,4,4,0.7,49,130,65677,1.2,6,277,,Forward,Burnley,,,
110,Gibson,4,2,0.1,39,0,3788,0.0,0,420,0.0,Defender,Burnley,,,
111,Brady,4,3,0.0,50,167,1223,1.2,6,338,75.0,Midfielder,Burnley,,,
112,Pope,4,1,10.5,54,674,153006,5.7,31,192,,Goalkeeper,Burnley,0.001,0.001,0.106
113,Taylor,4,2,2.9,45,674,141152,5.1,23,165,75.0,Defender,Burnley,0.133,-0.023,0.03
114,Brownhill,4,3,0.0,50,674,2542,3.2,16,153,,Midfielder,Burnley,,,
115,Peacock-Farrell,4,1,1.4,40,0,40516,0.0,0,445,100.0,Goalkeeper,Burnley,0.053,0.0,0.013999999999999999
116,McNeil,4,3,0.4,58,674,15867,3.3,19,112,,Midfielder,Burnley,,,
117,Dunne,4,2,6.6,40,180,733550,2.0,8,247,,Defender,Burnley,0.047,-0.002,0.066
118,Thomas,4,2,0.6,40,0,24119,0.0,0,452,,Defender,Burnley,,,
119,Benson,4,3,0.0,45,0,1554,0.0,0,524,,Midfielder,Burnley,,,
120,Driscoll-Glennon,4,2,0.1,40,0,3242,0.0,0,441,,Defender,Burnley,,,
121,Goodridge,4,3,0.0,45,0,547,0.0,0,520,,Midfielder,Burnley,,,
122,Norris,4,1,0.1,40,0,6201,0.0,0,439,,Goalkeeper,Burnley,0.004,0.003,0.001
123,Thompson,4,4,0.0,45,0,1838,0.0,0,535,,Forward,Burnley,,,
124,Richardson,4,4,0.0,45,0,2223,0.0,0,534,,Forward,Burnley,,,
125,Caballero,5,1,0.2,48,90,4674,0.2,1,411,,Goalkeeper,Chelsea,,,
126,Azpilicueta,5,2,3.4,58,320,74444,2.9,17,227,,Defender,Chelsea,,,
127,Giroud,5,4,0.6,67,36,12582,0.6,4,396,,Forward,Chelsea,,,
128,Alonso,5,2,1.7,57,225,37378,0.4,2,296,,Defender,Chelsea,,,
129,Jorginho,5,3,9.7,52,455,1197178,7.1,37,83,100.0,Midfielder,Chelsea,0.009000000000000001,-0.004,0.102
130,Kovacic,5,3,0.3,53,290,21135,2.3,12,224,100.0,Midfielder,Chelsea,,,
131,Rüdiger,5,2,0.7,45,90,20821,1.3,6,364,,Defender,Chelsea,,,
132,Zouma,5,2,18.6,54,720,1405626,10.0,54,64,,Defender,Chelsea,0.113,-0.003,0.183
133,Emerson,5,2,0.1,48,8,2749,0.2,1,404,,Defender,Chelsea,,,
134,Arrizabalaga,5,1,0.7,48,270,43297,1.2,6,344,100.0,Goalkeeper,Chelsea,,,
135,Kanté,5,3,3.3,49,802,137217,4.9,24,130,100.0,Midfielder,Chelsea,,,
136,Ziyech,5,3,18.5,83,275,1384330,3.6,30,98,100.0,Midfielder,Chelsea,0.309,0.184,0.18899999999999997
137,Christensen,5,2,0.2,48,315,8343,0.0,0,287,,Defender,Chelsea,,,
138,Werner,5,4,24.7,95,770,1147618,5.1,48,14,100.0,Forward,Chelsea,0.193,0.002,0.252
139,Abraham,5,4,2.4,72,467,95944,5.0,36,30,,Forward,Chelsea,,,
140,Pulisic,5,3,1.8,82,173,260038,0.7,6,270,0.0,Midfielder,Chelsea,0.004,-0.017,0.018000000000000002
141,Mount,5,3,4.5,68,629,304663,4.9,33,20,,Midfielder,Chelsea,,,
142,Tomori,5,2,0.2,47,45,6392,0.0,0,365,,Defender,Chelsea,,,
143,Hudson-Odoi,5,3,0.3,57,168,22209,2.1,12,178,,Midfielder,Chelsea,,,
144,James,5,2,12.8,50,633,1200252,8.2,41,49,,Defender,Chelsea,0.166,0.006,0.125
145,James,5,2,12.8,50,633,1200252,8.2,41,49,,Defender,Chelsea,0.001,0.0,0.004
146,Gilmour,5,3,0.1,44,0,3173,0.0,0,502,100.0,Midfielder,Chelsea,,,
147,Chilwell,5,2,31.4,61,531,2401703,7.9,48,31,100.0,Defender,Chelsea,0.708,0.102,0.307
148,Thiago Silva,5,2,3.2,55,432,195255,5.1,28,144,75.0,Defender,Chelsea,,,
149,Havertz,5,3,3.7,83,550,515028,3.1,26,82,75.0,Midfielder,Chelsea,0.001,-0.001,0.038
150,Mendy,5,1,6.9,51,450,559838,5.3,27,326,100.0,Goalkeeper,Chelsea,0.025,-0.002,0.066
151,Mendy,5,1,6.9,51,450,559838,5.3,27,326,100.0,Goalkeeper,Chelsea,0.006,0.0,0.03
152,Ziger,5,1,0.1,40,0,9812,0.0,0,449,,Goalkeeper,Chelsea,,,
153,Batshuayi,6,4,0.8,58,323,47286,2.6,15,207,100.0,Forward,Crystal Palace,,,
154,Cahill,6,2,0.1,45,90,5937,0.4,2,367,100.0,Defender,Crystal Palace,0.001,0.0,0.001
155,Hennessey,6,1,0.4,44,0,6075,0.0,0,472,0.0,Goalkeeper,Crystal Palace,,,
156,Sakho,6,2,0.3,45,275,23592,0.9,4,348,100.0,Defender,Crystal Palace,,,
157,Guaita,6,1,3.9,50,764,307029,4.4,22,215,,Goalkeeper,Crystal Palace,0.018000000000000002,0.0,0.04
158,Tomkins,6,2,0.0,45,0,1260,0.0,0,510,100.0,Defender,Crystal Palace,0.001,0.0,0.0
159,McArthur,6,3,0.1,53,562,3718,2.3,12,223,,Midfielder,Crystal Palace,,,
160,McCarthy,6,3,1.3,45,329,106893,2.0,9,295,100.0,Midfielder,Crystal Palace,0.0,-0.035,0.2
161,Benteke,6,4,0.2,55,21,18521,0.7,4,391,100.0,Forward,Crystal Palace,,,
162,Kouyaté,6,3,0.6,50,764,66093,5.0,25,138,,Midfielder,Crystal Palace,,,
163,Ward,6,2,0.9,44,450,56942,2.0,9,294,100.0,Defender,Crystal Palace,,,
164,Kelly,6,2,0.4,42,0,7693,0.0,0,455,,Defender,Crystal Palace,,,
165,Wickham,6,4,0.6,45,0,29714,0.0,0,511,0.0,Forward,Crystal Palace,0.002,0.0,0.006
166,Townsend,6,3,2.3,59,725,356872,5.6,33,48,,Midfielder,Crystal Palace,,,
167,Milivojevic,6,3,0.2,56,223,6040,0.9,5,301,0.0,Midfielder,Crystal Palace,,,
168,van Aanholt,6,2,0.8,54,242,65703,1.3,7,268,100.0,Defender,Crystal Palace,0.036000000000000004,0.013000000000000001,0.008
169,Ayew,6,4,1.9,57,487,94113,3.7,21,170,100.0,Forward,Crystal Palace,,,
170,Zaha,6,3,30.0,74,720,2472713,7.3,54,11,100.0,Midfielder,Crystal Palace,0.192,-0.003,0.302
171,Schlupp,6,3,0.1,54,399,9379,3.3,18,163,100.0,Midfielder,Crystal Palace,,,
172,Meyer,6,3,0.0,48,0,1349,0.0,0,551,,Midfielder,Crystal Palace,,,
173,Riedewald,6,3,1.8,44,404,169006,4.1,18,225,100.0,Midfielder,Crystal Palace,0.036000000000000004,0.024,0.018000000000000002
174,Ferguson,6,2,0.8,39,0,26438,0.0,0,422,0.0,Defender,Crystal Palace,0.043,-0.006,0.008
175,Mitchell,6,2,20.2,41,540,1298981,3.7,15,255,100.0,Defender,Crystal Palace,0.551,-0.061,0.2
176,Pierrick,6,3,0.1,44,0,6403,0.0,0,505,,Midfielder,Crystal Palace,,,
177,Dann,6,2,0.9,44,404,72138,4.3,19,200,100.0,Defender,Crystal Palace,0.001,0.001,0.009000000000000001
178,Eze,6,3,0.5,58,361,38059,3.8,22,123,75.0,Midfielder,Crystal Palace,,,
179,Woods,6,2,0.7,40,0,52976,0.0,0,446,100.0,Defender,Crystal Palace,,,
180,Inniss,6,2,0.1,40,0,4586,0.0,0,438,0.0,Defender,Crystal Palace,,,
181,Clyne,6,2,0.3,45,295,23153,2.2,10,313,,Defender,Crystal Palace,,,
182,Henderson,6,1,0.3,40,0,23448,0.0,0,431,,Goalkeeper,Crystal Palace,,,
183,Butland,6,1,0.0,45,0,2254,0.0,0,515,100.0,Goalkeeper,Crystal Palace,,,
184,Delph,7,3,0.0,49,154,1867,0.8,4,353,100.0,Midfielder,Everton,,,
185,Sigurdsson,7,3,0.9,68,396,13472,2.2,15,140,,Midfielder,Everton,,,
186,Lössl,7,1,0.1,44,0,2039,0.0,0,477,,Goalkeeper,Everton,,,
187,Coleman,7,2,0.9,49,447,182853,3.3,16,169,0.0,Defender,Everton,0.001,0.0,0.009000000000000001
188,Tosun,7,4,0.0,60,31,885,0.2,1,392,100.0,Forward,Everton,,,
189,Bernard,7,3,0.2,58,165,7174,1.6,9,202,,Midfielder,Everton,,,
190,Digne,7,2,13.3,61,701,1207492,5.6,34,40,100.0,Defender,Everton,0.026000000000000002,0.008,0.131
191,Keane,7,2,5.9,51,810,454128,5.5,28,76,,Defender,Everton,0.009000000000000001,0.001,0.06
192,Pickford,7,1,6.9,49,720,422892,4.1,20,176,,Goalkeeper,Everton,0.003,0.0,0.07
193,André Gomes,7,3,0.3,54,362,19858,1.7,9,290,100.0,Midfielder,Everton,,,
194,Iwobi,7,3,0.2,59,272,7255,2.7,16,213,,Midfielder,Everton,,,
195,Kenny,7,2,0.1,43,75,4920,0.5,2,370,100.0,Defender,Everton,,,
196,Gbamin,7,3,0.0,50,0,178,0.0,0,575,0.0,Midfielder,Everton,,,
197,Mina,7,2,2.1,55,720,135378,3.6,20,125,100.0,Defender,Everton,,,
198,Davies,7,3,0.1,53,108,2847,0.9,5,355,,Midfielder,Everton,0.004,-0.005,0.01
199,Calvert-Lewin,7,4,58.9,78,788,4081660,9.0,70,6,,Forward,Everton,0.8390000000000001,0.04,0.5820000000000001
200,Holgate,7,2,0.1,48,90,1928,0.0,0,374,100.0,Defender,Everton,,,
201,Richarlison,7,4,4.2,78,457,432497,3.5,27,47,100.0,Forward,Everton,0.011000000000000001,0.011000000000000001,0.040999999999999995
202,Virgínia,7,1,0.1,44,0,817,0.0,0,499,,Goalkeeper,Everton,,,
203,Gordon,7,3,0.6,43,32,35776,0.2,1,401,,Midfielder,Everton,0.003,0.001,0.006
204,Kean,7,4,0.2,58,13,7863,0.3,2,398,0.0,Forward,Everton,,,
205,Branthwaite,7,2,2.3,39,0,120241,0.0,0,425,100.0,Defender,Everton,0.015,-0.001,0.023
206,Allan,7,3,1.0,53,720,76885,2.6,14,173,100.0,Midfielder,Everton,,,
207,Rodríguez,7,3,29.1,79,661,3082198,5.7,45,13,100.0,Midfielder,Everton,0.192,-0.001,0.299
208,Doucouré,7,3,1.1,53,738,73212,4.7,25,50,,Midfielder,Everton,,,
209,Nkounkou,7,2,0.2,40,68,17224,0.2,1,378,,Defender,Everton,0.001,0.0,0.002
210,Godfrey,7,2,0.1,50,239,6043,0.6,3,330,100.0,Defender,Everton,,,
211,Olsen,7,1,0.1,45,90,3794,0.2,1,386,,Goalkeeper,Everton,,,
212,Simms,7,4,0.0,45,0,1556,0.0,0,525,,Forward,Everton,,,
213,Loftus-Cheek,8,3,0.2,59,252,9510,2.2,13,197,,Midfielder,Fulham,,,
214,Fabri,8,1,1.7,40,0,31800,0.0,0,430,,Goalkeeper,Fulham,0.003,0.0,0.017
215,McDonald,8,3,0.0,47,0,807,0.0,0,539,0.0,Midfielder,Fulham,,,
216,Le Marchand,8,2,0.1,43,122,1499,0.2,1,390,,Defender,Fulham,,,
217,Johansen,8,3,0.0,47,0,358,0.0,0,541,0.0,Midfielder,Fulham,,,
218,Cairney,8,3,0.2,53,687,9351,4.5,24,35,,Midfielder,Fulham,,,
219,Ream,8,2,0.2,44,450,6541,1.6,7,292,,Defender,Fulham,,,
220,Knockaert,8,3,0.0,51,0,951,0.0,0,579,0.0,Midfielder,Fulham,,,
221,Hector,8,2,0.2,43,237,4403,0.0,0,314,,Defender,Fulham,,,
222,Christie,8,2,0.0,43,0,486,0.0,0,460,0.0,Defender,Fulham,,,
223,Kebano,8,3,0.1,48,115,2595,1.0,5,325,100.0,Midfielder,Fulham,,,
224,Decordova-Reid,8,4,0.2,53,443,16471,4.3,23,69,,Forward,Fulham,,,
225,Bryan,8,2,0.4,47,337,12685,1.5,7,234,,Defender,Fulham,,,
226,Bettinelli,8,1,0.0,44,0,529,0.0,0,489,0.0,Goalkeeper,Fulham,,,
227,Mitrović,8,4,6.4,57,689,476353,5.1,29,19,,Forward,Fulham,0.059000000000000004,-0.078,0.065
228,Mawson,8,2,0.0,43,0,206,0.0,0,461,0.0,Defender,Fulham,,,
229,Rodák,8,1,0.4,44,90,9702,0.2,1,387,,Goalkeeper,Fulham,,,
230,Cavaleiro,8,3,0.1,53,522,2855,2.1,11,105,,Midfielder,Fulham,,,
231,Onomah,8,3,0.0,47,131,2023,0.6,3,376,0.0,Midfielder,Fulham,,,
232,Seri,8,3,0.0,46,0,2725,0.0,0,537,0.0,Midfielder,Fulham,,,
233,Kamara,8,3,0.1,48,214,4215,0.4,2,302,100.0,Midfielder,Fulham,,,
234,Anguissa,8,3,1.8,45,653,231293,4.2,19,66,,Midfielder,Fulham,0.073,-0.005,0.019
235,Sessegnon,8,2,0.0,43,0,433,0.0,0,463,0.0,Defender,Fulham,,,
236,Reed,8,3,0.6,45,395,47484,2.7,12,191,100.0,Midfielder,Fulham,0.035,-0.027000000000000003,0.006
237,Robinson,8,2,0.1,44,540,6398,3.2,14,80,,Defender,Fulham,,,
238,Lemina,8,3,0.4,45,220,9529,1.6,7,297,100.0,Midfielder,Fulham,0.001,0.0,0.004
239,Areola,8,1,1.3,45,720,61754,5.1,23,135,,Goalkeeper,Fulham,,,
