,first_name,second_name,id,full_names,selected,cost
348,Loris,Karius,238,Loris_Karius_238,10305,50
349,Dejan,Lovren,239,Dejan_Lovren_239,347393,50
350,Alberto,Moreno,240,Alberto_Moreno_240,22078,45
351,Joseph,Gomez,242,Joseph_Gomez_242,13273,50
352,Joel,Matip,243,Joel_Matip_243,3630,50
353,Ragnar,Klavan,244,Ragnar_Klavan_244,7541,45
354,Trent,Alexander-Arnold,245,Trent_Alexander-Arnold_245,787168,50
355,Virgil,van Dijk,246,Virgil_van Dijk_246,811455,60
356,Andrew,Robertson,247,Andrew_Robertson_247,720845,60
357,Alex,Oxlade-Chamberlain,248,Alex_Oxlade-Chamberlain_248,2117,65
358,Jordan,Henderson,249,Jordan_Henderson_249,61150,55
359,Adam,Lallana,250,Adam_Lallana_250,73838,70
360,Sadio,Mané,251,Sadio_Mané_251,758512,95
361,Georginio,Wijnaldum,252,Georginio_Wijnaldum_252,32164,55
362,Mohamed,Salah,253,Mohamed_Salah_253,2478960,130
363,James,Milner,254,James_Milner_254,14696,55
364,Fabio Henrique,Tavares,255,Fabio Henrique_Tavares_255,51015,60
365,Naby,Keita,256,Naby_Keita_256,232708,75
366,Roberto,Firmino,257,Roberto_Firmino_257,1687015,95
367,Xherdan,Shaqiri,462,Xherdan_Shaqiri_462,360763,75
368,Alisson,Ramses Becker,468,Alisson_Ramses Becker_468,629624,55
369,Daniel,Sturridge,472,Daniel_Sturridge_472,47395,60
370,Divock,Origi,543,Divock_Origi_543,0,0
371,Rafael,Camacho,557,Rafael_Camacho_557,0,0
372,Curtis,Jones,597,Curtis_Jones_597,0,0
373,Riyad,Mahrez,223,Riyad_Mahrez_223,244252,90
374,Ederson,Santana de Moraes,260,Ederson_Santana de Moraes_260,796937,55
375,Claudio,Bravo,261,Claudio_Bravo_261,11627,50
376,John,Stones,262,John_Stones_262,415001,55
377,Vincent,Kompany,263,Vincent_Kompany_263,105138,55
378,Nicolás,Otamendi,264,Nicolás_Otamendi_264,405078,65
379,Kyle,Walker,265,Kyle_Walker_265,545462,65
380,Danilo Luiz,da Silva,266,Danilo Luiz_da Silva_266,53010,55
381,Benjamin,Mendy,267,Benjamin_Mendy_267,440329,60
382,Aymeric,Laporte,268,Aymeric_Laporte_268,55175,55
383,Fabian,Delph,269,Fabian_Delph_269,18028,55
384,Raheem,Sterling,270,Raheem_Sterling_270,95478,110
385,David,Silva,271,David_Silva_271,234240,85
386,Fernando,Luiz Rosa,272,Fernando_Luiz Rosa_272,328372,55
387,Kevin,De Bruyne,273,Kevin_De Bruyne_273,1288634,100
388,Ilkay,Gündogan,274,Ilkay_Gündogan_274,65757,55
389,Leroy,Sané,275,Leroy_Sané_275,663136,95
390,Bernardo Mota,Veiga de Carvalho e Silva,276,Bernardo Mota_Veiga de Carvalho e Silva_276,312286,75
391,Phil,Foden,277,Phil_Foden_277,14777,50
392,Brahim,Diaz,278,Brahim_Diaz_278,2951,50
393,Oleksandr,Zinchenko,279,Oleksandr_Zinchenko_279,2425,50
394,Sergio,Agüero,280,Sergio_Agüero_280,1452447,110
395,Gabriel Fernando,de Jesus,281,Gabriel Fernando_de Jesus_281,121425,105
396,Arijanet,Muric,529,Arijanet_Muric_529,0,0
397,Philippe,Sandler,604,Philippe_Sandler_604,0,0
398,David,de Gea,282,David_de Gea_282,0,0
399,Sergio,Romero,283,Sergio_Romero_283,3795,50
400,Chris,Smalling,284,Chris_Smalling_284,165459,60
401,Phil,Jones,285,Phil_Jones_285,169200,55
402,Luke,Shaw,286,Luke_Shaw_286,162866,50
403,Marcos,Rojo,287,Marcos_Rojo_287,5350,50
404,Antonio,Valencia,288,Antonio_Valencia_288,41761,65
405,Matteo,Darmian,289,Matteo_Darmian_289,20155,50
406,Daley,Blind,290,Daley_Blind_290,868,50
407,Eric,Bailly,291,Eric_Bailly_291,133757,55
408,Victor,Lindelöf,292,Victor_Lindelöf_292,56146,50
409,Ashley,Young,293,Ashley_Young_293,101792,60
410,José Diogo,Dalot Teixeira,294,José Diogo_Dalot Teixeira_294,2241,55
411,Alexis,Sánchez,295,Alexis_Sánchez_295,474589,105
412,Nemanja,Matic,296,Nemanja_Matic_296,42537,50
413,Juan,Mata,297,Juan_Mata_297,97791,65
414,Marouane,Fellaini,298,Marouane_Fellaini_298,28693,50
415,Ander,Herrera,299,Ander_Herrera_299,9519,50
416,Jesse,Lingard,300,Jesse_Lingard_300,283400,70
417,Anthony,Martial,301,Anthony_Martial_301,46847,75
418,Paul,Pogba,302,Paul_Pogba_302,354360,80
419,Scott,McTominay,303,Scott_McTominay_303,39595,45
420,Frederico,Rodrigues de Paula Santos,304,Frederico_Rodrigues de Paula Santos_304,232569,60
421,Marcus,Rashford,305,Marcus_Rashford_305,515309,70
422,Romelu,Lukaku,306,Romelu_Lukaku_306,349932,110
423,Andreas,Pereira,481,Andreas_Pereira_481,30210,50
424,Lee,Grant,520,Lee_Grant_520,0,50
425,Angel,Gomes,568,Angel_Gomes_568,0,0
426,James,Garner,602,James_Garner_602,0,0
427,Tahith,Chong,603,Tahith_Chong_603,0,0
428,Mason,Greenwood,608,Mason_Greenwood_608,0,0
429,Robert,Elliot,307,Robert_Elliot_307,16575,45
430,Karl,Darlow,308,Karl_Darlow_308,4954,45
431,Martin,Dubravka,309,Martin_Dubravka_309,18497,50
432,DeAndre,Yedlin,310,DeAndre_Yedlin_310,81314,45
433,Ciaran,Clark,311,Ciaran_Clark_311,10582,45
434,Jamaal,Lascelles,312,Jamaal_Lascelles_312,423390,50
435,Paul,Dummett,313,Paul_Dummett_313,9349,45
436,Florian,Lejeune,314,Florian_Lejeune_314,1440,45
437,Javier,Manquillo,315,Javier_Manquillo_315,8511,45
438,Chancel,Mbemba,316,Chancel_Mbemba_316,12652,40
439,Matt,Ritchie,317,Matt_Ritchie_317,46207,60
440,Jonjo,Shelvey,318,Jonjo_Shelvey_318,51885,55
441,Mohamed,Diamé,319,Mohamed_Diamé_319,5156,50
442,Christian,Atsu,320,Christian_Atsu_320,9385,55
443,Jacob,Murphy,321,Jacob_Murphy_321,2929,50
444,Mikel,Merino,322,Mikel_Merino_322,97,50
445,Isaac,Hayden,323,Isaac_Hayden_323,11288,45
446,Sung-yueng,Ki,324,Sung-yueng_Ki_324,12763,50
447,Dwight,Gayle,325,Dwight_Gayle_325,10803,60
448,Ayoze,Pérez,326,Ayoze_Pérez_326,146474,65
449,Jose Luis,Mato Sanmartín,327,Jose Luis_Mato Sanmartín_327,89238,50
450,Robert Kenedy,Nunes do Nascimento,458,Robert Kenedy_Nunes do Nascimento_458,115700,50
451,Fabian,Schär,482,Fabian_Schär_482,17090,50
452,Yoshinori,Muto,488,Yoshinori_Muto_488,7032,60
453,Salomón,Rondón,493,Salomón_Rondón_493,73303,60
454,Federico,Fernández,516,Federico_Fernández_516,10427,45
455,Jamie,Sterry,530,Jamie_Sterry_530,0,0
456,Sean,Longstaff,531,Sean_Longstaff_531,0,0
457,Frederick,Woodman,553,Frederick_Woodman_553,0,0
458,Callum,Roberts,577,Callum_Roberts_577,0,0
459,Miguel,Almirón,587,Miguel_Almirón_587,0,0
460,Antonio,Barreca,588,Antonio_Barreca_588,0,0
461,Kelland,Watts,622,Kelland_Watts_622,0,0
462,Lewis,Cass,623,Lewis_Cass_623,0,0
463,Danny,Ings,258,Danny_Ings_258,82610,55
464,Alex,McCarthy,328,Alex_McCarthy_328,31997,45
465,Fraser,Forster,329,Fraser_Forster_329,65137,45
466,Ryan,Bertrand,330,Ryan_Bertrand_330,349632,50
467,Maya,Yoshida,331,Maya_Yoshida_331,77036,45
468,Cédric,Soares,332,Cédric_Soares_332,398975,45
469,Jack,Stephens,333,Jack_Stephens_333,10138,45
470,Sam,McQueen,334,Sam_McQueen_334,64439,40
471,Jan,Bednarek,335,Jan_Bednarek_335,264706,40
472,Wesley,Hoedt,336,Wesley_Hoedt_336,19002,45
473,Steven,Davis,337,Steven_Davis_337,7799,50
474,James,Ward-Prowse,338,James_Ward-Prowse_338,27127,55
475,Oriol,Romeu Vidal,339,Oriol_Romeu Vidal_339,140250,45
476,Pierre-Emile,Højbjerg,340,Pierre-Emile_Højbjerg_340,23517,45
477,Sofiane,Boufal,341,Sofiane_Boufal_341,462,55
478,Joshua,Sims,342,Joshua_Sims_342,4891,45
479,Nathan,Redmond,343,Nathan_Redmond_343,24948,55
480,Mario,Lemina,344,Mario_Lemina_344,9971,50
481,Stuart,Armstrong,345,Stuart_Armstrong_345,13490,55
482,Mohamed,Elyounoussi,346,Mohamed_Elyounoussi_346,23886,65
483,Shane,Long,347,Shane_Long_347,90569,50
484,Charlie,Austin,348,Charlie_Austin_348,85810,60
485,Manolo,Gabbiadini,349,Manolo_Gabbiadini_349,18085,60
486,Guido,Carrillo,350,Guido_Carrillo_350,196,55
487,Angus,Gunn,452,Angus_Gunn_452,12989,45
488,Jannik,Vestergaard,463,Jannik_Vestergaard_463,29273,50
489,Matt,Targett,479,Matt_Targett_479,6036,45
490,Michael,Obafemi,550,Michael_Obafemi_550,0,0
491,Yan,Valery,556,Yan_Valery_556,0,0
492,Tyreke,Johnson,562,Tyreke_Johnson_562,0,0
493,Kayne,Ramsay,565,Kayne_Ramsay_565,0,0
494,Callum,Slattery,570,Callum_Slattery_570,0,0
495,Sam,Gallagher,574,Sam_Gallagher_574,0,0
496,Alfie,Jones,595,Alfie_Jones_595,0,0
497,Hugo,Lloris,351,Hugo_Lloris_351,380621,55
498,Michel,Vorm,352,Michel_Vorm_352,5427,50
499,Toby,Alderweireld,353,Toby_Alderweireld_353,159975,60
500,Danny,Rose,354,Danny_Rose_354,69060,60
501,Jan,Vertonghen,355,Jan_Vertonghen_355,414376,60
502,Ben,Davies,356,Ben_Davies_356,428966,60
503,Kieran,Trippier,357,Kieran_Trippier_357,1217102,60
504,Kyle,Walker-Peters,358,Kyle_Walker-Peters_358,22811,45
505,Davinson,Sánchez,359,Davinson_Sánchez_359,122431,60
506,Serge,Aurier,360,Serge_Aurier_360,49004,60
507,Eric,Dier,361,Eric_Dier_361,109552,50
508,Mousa,Dembélé,362,Mousa_Dembélé_362,72326,50
509,Erik,Lamela,363,Erik_Lamela_363,4017,65
510,Christian,Eriksen,364,Christian_Eriksen_364,840208,95
511,Bamidele,Alli,365,Bamidele_Alli_365,175864,90
512,Victor,Wanyama,366,Victor_Wanyama_366,2567,50
513,Heung-Min,Son,367,Heung-Min_Son_367,374626,85
514,Harry,Winks,368,Harry_Winks_368,646,55
515,Moussa,Sissoko,369,Moussa_Sissoko_369,2814,50
516,Lucas,Rodrigues Moura da Silva,370,Lucas_Rodrigues Moura da Silva_370,108496,70
517,Fernando,Llorente,371,Fernando_Llorente_371,15635,60
518,Harry,Kane,372,Harry_Kane_372,1430959,125
519,Georges-Kévin,Nkoudou,497,Georges-Kévin_Nkoudou_497,997,50
520,Luke,Amos,523,Luke_Amos_523,0,45
