,full_name,selected
259,Leon_Britton,0.0
260,Leroy_Fer,0.0
261,Leroy_Sané,663136.0
262,Lewis_Cook,16680.0
263,Loris_Karius,10305.0
264,Loïc_Remy,0.0
265,Luis_Hernández,0.0
266,Lukasz_Fabianski,911117.0
267,Luke_Shaw,162866.0
268,Lynden_Gooch,0.0
269,Lys_Mousset,11984.0
270,Maarten_Stekelenburg,219323.0
271,Mamadou_Sakho,67303.0
272,Mame Biram_Diouf,0.0
273,Manuel_Agudo Durán,0.0
274,Manuel_Lanzini,2371.0
275,Marcin_Wasilewski,0.0
276,Marcos_Rojo,5350.0
277,Marcus_Rashford,515309.0
278,Marc_Albrighton,58166.0
279,Marc_Muniesa,0.0
280,Marc_Pugh,32012.0
281,Marc_Wilson,0.0
282,Marko_Arnautovic,973948.0
283,Marko_Grujic,0.0
284,Mark_Noble,23453.0
285,Marouane_Fellaini,28693.0
286,Marten_de Roon,0.0
287,Martin_Kelly,409020.0
288,Mason_Holgate,3574.0
289,Matej_Vydra,7173.0
290,Mathieu_Debuchy,0.0
291,Matteo_Darmian,20155.0
292,Matthew_Lowton,44551.0
293,Matthew_Pennington,0.0
294,Matt_Phillips,0.0
295,Matt_Targett,6036.0
296,Max_Gradel,0.0
297,Maya_Yoshida,77036.0
298,Memphis_Depay,0.0
299,Mesut_Özil,236460.0
300,Michael_Carrick,0.0
301,Michael_Dawson,0.0
302,Michael_Keane,117954.0
303,Michael_Kightly,0.0
304,Michail_Antonio,79349.0
305,Michel_Vorm,5427.0
306,Michy_Batshuayi,0.0
307,Miguel_Britos,4748.0
308,Mike_van der Hoorn,0.0
309,Modou_Barrow,0.0
310,Mohamed_Diamé,5156.0
311,Mohamed_Elneny,120790.0
312,Morgan_Schneiderlin,115922.0
313,Mousa_Dembélé,72326.0
314,N'Golo_Kanté,889970.0
315,Nabil_Bentaleb,0.0
316,Nacer_Chadli,0.0
317,Nacho_Monreal,44811.0
318,Nampalys_Mendy,0.0
319,Nathaniel_Clyne,26690.0
320,Nathan_Aké,158251.0
321,Nathan_Dyer,0.0
322,Nathan_Redmond,24948.0
323,Neil_Taylor,0.0
324,Nemanja_Matić,42537.0
325,Nick_Pope,23251.0
326,Nicolás_Otamendi,405078.0
327,Nordin_Amrabat,0.0
328,Odion_Ighalo,0.0
329,Olayinka Fredrick Oladotun_Ladapo,0.0
330,Ola_Aina,0.0
331,Oleksandr_Zinchenko,2425.0
332,Olivier_Giroud,188771.0
333,Oriol_Romeu,140250.0
334,Oscar_dos Santos Emboaba Junior,0.0
335,Oumar_Niasse,46205.0
336,Pablo_Zabaleta,177648.0
337,Pape_Souaré,6259.0
338,Papy_Djilobodji,0.0
339,Patrick_McNair,0.0
340,Patrick_van Aanholt,244166.0
341,Paulo_Gazzaniga,0.0
342,Paul_Pogba,354360.0
343,Paul_Robinson,0.0
344,Pedro_Obiang,63157.0
345,Pedro_Rodriguez,96685.0
346,Per_Mertesacker,0.0
347,Peter_Crouch,0.0
348,Petr_Čech,70767.0
349,Philippe_Coutinho,0.0
350,Phil_Bardsley,10336.0
351,Phil_Jagielka,100143.0
352,Phil_Jones,169200.0
353,Pierre-Emile_Højbjerg,23517.0
354,Ragnar_Klavan,7541.0
355,Raheem_Sterling,95478.0
356,Ramadan_Sobhi,15146.0
357,Ramiro_Funes Mori,0.0
358,Reece_Oxford,6834.0
359,Riyad_Mahrez,244252.0
360,Kenedy,115700.0
361,Roberto_Firmino,1687015.0
362,Robert_Huth,0.0
363,Robert_Snodgrass,8221.0
364,Rob_Holding,29752.0
365,Romelu_Lukaku,349932.0
366,Ron-Robert_Zieler,0.0
367,Ross_Barkley,22315.0
368,Ruben_Loftus-Cheek,55849.0
369,Ryan_Bertrand,349632.0
370,Ryan_Mason,0.0
371,Ryan_Shawcross,0.0
372,Sadio_Mané,758512.0
373,Saido_Berahino,0.0
374,Salomón_Rondón,73303.0
375,Samir_Nasri,0.0
376,Sam_Byram,3347.0
377,Sam_Clucas,0.0
378,Sam_Field,0.0
379,Sam_Vokes,53452.0
380,Santiago_Cazorla,0.0
381,Scott_Arfield,0.0
382,Scott_Dann,779.0
383,Seamus_Coleman,148392.0
384,Sebastian_Larsson,0.0
385,Sebastian_Prödl,9721.0
386,Sergio_Agüero,1452447.0
387,Sergio_Romero,3795.0
388,Shane_Long,90569.0
389,Shaun_Maloney,0.0
390,Shay_Given,0.0
391,Shinji_Okazaki,77976.0
392,Simon_Francis,22164.0
393,Simon_Mignolet,7587.0
394,Sofiane_Feghouli,0.0
395,Stephen_Ireland,0.0
396,Stephen_Kingsley,0.0
397,Stephen_Ward,120639.0
398,Steven_Davis,7799.0
399,Steve_Cook,59682.0
400,Steve_Mandanda,0.0
401,Stewart_Downing,0.0
402,Sullay_Kaikai,9165.0
403,Sung-yueng_Ki,12763.0
404,Theo_Walcott,93127.0
405,Thibaut_Courtois,78468.0
406,Timothy_Fosu-Mensah,37692.0
407,Toby_Alderweireld,159975.0
408,Tom_Carroll,0.0
409,Tom_Cleverley,494.0
410,Tom_Davies,11634.0
411,Tom_Heaton,6229.0
412,Tom_Huddlestone,0.0
413,Trent_Alexander-Arnold,787168.0
414,Troy_Deeney,52178.0
415,Tyrone_Mings,10308.0
416,Valon_Behrami,0.0
417,Victor_Moses,211948.0
418,Victor_Wanyama,2567.0
419,Viktor_Fischer,0.0
420,Vincent_Janssen,0.0
421,Vincent_Kompany,105138.0
422,Virgil_van Dijk,811455.0
423,Vito_Mannone,0.0
424,Víctor_Valdés,0.0
425,Wahbi_Khazri,0.0
426,Wayne_Hennessey,49531.0
427,Wayne_Rooney,0.0
428,Wayne_Routledge,0.0
429,Wes_Morgan,62679.0
430,Wilfried_Bony,0.0
431,Wilfried_Zaha,1424847.0
432,Willian,411692.0
433,Willy_Caballero,8785.0
434,Winston_Reid,1204.0
435,Xherdan_Shaqiri,360763.0
436,Yannick_Bolasie,16150.0
437,Yohan_Benalouane,53420.0
438,Yohan_Cabaye,0.0
439,Younes_Kaboul,10718.0
440,Zlatan_Ibrahimovic,0.0
441,Álvaro_Negredo,0.0
442,Adama_Traoré,34187.0
443,Adrian_Mariappa,11219.0
444,Aiden_O'Neill,0.0
445,Ainsley_Maitland-Niles,31526.0
446,Aleix_García Serrano,0.0
447,Alfie_Mawson,15496.0
448,Ashley_Fletcher,0.0
449,Ben_Hamer,124117.0
450,Bruno_Martins Indi,0.0
451,Claudio_Bravo,11627.0
452,Daniel_James,0.0
453,Daryl_Janmaat,24868.0
454,David_Luiz,160332.0
455,David_Marshall,0.0
456,Didier_Ndong,0.0
457,Dieumerci_Mbokani,0.0
458,Dominic_Calvert-Lewin,68885.0
459,Dominic_Solanke,17914.0
460,Edimilson_Fernandes,16169.0
461,Ezekiel_Fryers,0.0
462,Fabio Pereira_da Silva,0.0
463,Georges-Kévin_N'Koudou,997.0
464,George_Honeyman,0.0
465,Hal_Robson-Kanu,0.0
466,Islam_Slimani,0.0
467,Javier_Manquillo,8511.0
468,Jeff_Hendrick,9008.0
469,Jonathan_Benteke,0.0
470,Jonathan_Calleri,0.0
471,Julien_Ngoy,0.0
472,Kevin_Long,42014.0
473,Lee_Grant,0.0
474,Lucas_Pérez,11442.0
475,Luke_Dreher,0.0
476,Marcos_Alonso,727837.0
477,Markus_Henriksen,0.0
478,Mathieu_Flamini,0.0
479,Moussa_Sissoko,2814.0
480,Nathaniel_Chalobah,12307.0
481,Oliver_McBurnie,0.0
482,Oviemuno_Ejaria,0.0
483,Patrick_Bamford,0.0
484,Roberto_Pereyra,22304.0
485,Ryan_Fraser,57385.0
486,Sam_McQueen,64439.0
487,Shkodran_Mustafi,66040.0
488,Simone_Zaza,0.0
489,Sofiane_Boufal,462.0
490,Stefano_Okaka,1583.0
491,Steven_Defour,757.0
492,Steven_Pienaar,0.0
493,Victor_Anichebe,0.0
494,Will_Keane,0.0
495,Álvaro_Arbeloa,0.0
496,Ryan_Allsop,0.0
497,Ben_Woodburn,0.0
