,id,full_names,element_type,team,selected,cost
535,379,Miguel_Britos_379,2,18,4748,45
536,380,Christian_Kabasele_380,2,18,34071,45
537,381,Daryl_Janmaat_381,2,18,24868,50
538,382,Adrian_Mariappa_382,2,18,11219,45
539,383,Francisco_Femenía Far_383,2,18,25857,45
540,384,Marvin_Zeegelaar_384,2,18,5698,45
541,385,Marc_Navarro_385,2,18,5864,45
542,386,Adam_Masina_386,2,18,5629,45
543,387,Nathaniel_Chalobah_387,3,18,12307,45
544,388,Tom_Cleverley_388,3,18,494,50
545,389,Etienne_Capoue_389,3,18,14003,50
546,390,Abdoulaye_Doucouré_390,3,18,108189,60
547,391,Roberto_Pereyra_391,3,18,22304,60
548,392,Will_Hughes_392,3,18,25044,50
549,394,Gerard_Deulofeu_394,3,18,19281,55
550,395,Andre_Gray_395,4,18,30395,60
551,396,Troy_Deeney_396,4,18,52178,60
552,397,Stefano_Okaka_397,4,18,1583,50
553,398,Jerome_Sinclair_398,4,18,9283,45
554,445,Ben_Foster_445,1,18,232427,45
555,446,Ken_Sema_446,3,18,5736,50
556,517,Domingos_Quina_517,3,18,3648,45
557,524,Isaac_Success Ajayi_524,4,18,0,45
558,544,Ben_Wilmot_544,2,18,0,0
559,554,Adalberto_Peñaranda_554,4,18,0,0
560,399,Adrián_San Miguel del Castillo_399,1,19,26929,45
561,400,Lukasz_Fabianski_400,1,19,911117,45
562,401,Winston_Reid_401,2,19,1204,45
563,402,Aaron_Cresswell_402,2,19,103396,55
564,403,Angelo_Ogbonna_403,2,19,47740,45
565,404,Sam_Byram_404,2,19,3347,45
566,405,Pablo_Zabaleta_405,2,19,177648,45
567,406,Declan_Rice_406,2,19,16061,45
568,407,Reece_Oxford_407,2,19,6834,45
569,408,Ryan_Fredericks_408,2,19,32501,50
570,409,Issa_Diop_409,2,19,46623,45
571,410,Arthur_Masuaku_410,3,19,113838,45
572,411,Mark_Noble_411,3,19,23453,50
573,413,Pedro_Obiang_413,3,19,63157,45
574,414,Manuel_Lanzini_414,3,19,2371,65
575,415,Michail_Antonio_415,3,19,79349,70
576,416,Edimilson_Fernandes_416,3,19,16169,45
577,417,Marko_Arnautovic_417,4,19,973948,70
578,418,Andy_Carroll_418,4,19,2216,55
579,419,Javier_Hernández Balcázar_419,4,19,118570,65
580,420,Jordan_Hugill_420,4,19,1133,50
581,447,Jack_Wilshere_447,3,19,239569,50
582,453,Andriy_Yarmolenko_453,3,19,48425,70
583,464,Fabián_Balbuena_464,2,19,16348,45
584,465,Felipe Anderson_Pereira Gomes_465,3,19,183158,70
585,489,Robert_Snodgrass_489,3,19,8221,55
586,502,Lucas_Pérez_502,4,19,11442,65
587,518,Carlos_Sánchez_518,3,19,15025,45
588,539,Grady_Diangana_539,3,19,0,0
589,547,Joe_Powell_547,3,19,0,0
590,548,Conor_Coventry_548,3,19,0,0
591,560,Alexandre Nascimento_Costa Silva_560,4,19,0,0
592,569,Samir_Nasri_569,3,19,0,0
593,605,Ben_Johnson_605,2,19,0,0
594,611,Nathan_Holland_611,3,19,0,0
595,421,John_Ruddy_421,1,20,24845,45
596,422,Will_Norris_422,1,20,117293,40
597,423,Willy_Boly_423,2,20,94567,45
598,424,Barry_Douglas_424,2,20,3755,50
599,425,Matt_Doherty_425,2,20,59443,45
600,426,Romain_Saïss_426,2,20,13736,45
601,427,Ryan_Bennett_427,2,20,234162,40
602,428,Danny_Batth_428,2,20,97934,40
603,429,Roderick Jefferson_Gonçalves Miranda_429,2,20,5328,40
604,430,Conor_Coady_430,2,20,30913,45
605,431,Rúben Gonçalo_Silva Nascimento Vinagre_431,2,20,7145,45
606,432,Diogo_Jota_432,3,20,314441,65
607,433,Rúben Diogo_da Silva Neves_433,3,20,633569,50
608,434,Ivan_Cavaleiro_434,3,20,7490,55
609,435,Hélder_Costa_435,3,20,40560,50
610,436,Bright_Enobakhare_436,3,20,14398,45
611,437,Raúl_Jiménez_437,4,20,129989,55
612,438,Bonatini Lohner Maia_Bonatini_438,4,20,46942,50
613,448,Morgan_Gibbs-White_448,3,20,20765,45
614,449,Rafa_Mir_449,4,20,6033,45
615,454,Rui Pedro_dos Santos Patrício_454,1,20,301531,45
616,475,João Filipe Iria_Santos Moutinho_475,3,20,87926,55
617,483,Jonathan_Castro Otto_483,2,20,29970,45
618,500,Adama_Traoré_500,3,20,34187,55
619,519,Leander_Dendoncker_519,3,20,23562,45
620,525,Kortney_Hause_525,2,20,0,40
621,555,Ryan John_Giles_555,3,20,0,0
622,567,Max_Kilman_567,2,20,0,0
623,596,Cameron_John_596,2,20,0,0
