,id,full_names,element_type,team,cost,selected
601,381,Issa_Diop_381,2,19,45,231395
602,382,Fabián_Balbuena_382,2,19,45,27470
603,383,Winston_Reid_383,2,19,40,303577
604,384,Ben_Johnson_384,2,19,40,67721
605,385,Marko_Arnautovic_385,4,19,70,10496
606,386,Javier_Hernández Balcázar_386,4,19,60,57838
607,387,Alexandre Nascimento_Costa Silva_387,4,19,45,118372
608,388,Lukasz_Fabianski_388,1,19,50,286631
609,389,Michail_Antonio_389,3,19,70,96528
610,390,Felipe Anderson_Pereira Gomes_390,3,19,70,529492
611,391,Manuel_Lanzini_391,3,19,65,58508
612,392,Andriy_Yarmolenko_392,3,19,60,11742
613,393,Robert_Snodgrass_393,3,19,55,17010
614,394,Jack_Wilshere_394,3,19,50,32147
615,395,Declan_Rice_395,3,19,50,157759
616,396,Mark_Noble_396,3,19,50,26530
617,397,Carlos_Sánchez_397,3,19,45,20626
618,398,Grady_Diangana_398,3,19,45,6188
619,399,Pablo_Fornals_399,3,19,65,56910
620,400,Pedro_Obiang_400,3,19,45,5433
621,450,Roberto_Jimenez Gago_450,1,19,45,18181
622,457,Sébastien_Haller_457,4,19,75,244666
623,514,Albian_Ajeti_514,4,19,60,3165
624,553,David_Martin_553,1,19,0,0
625,568,Nathan_Holland_568,3,19,0,0
626,582,Joseph_Anang_582,1,19,0,0
627,593,Jeremy_Ngakia_593,2,19,0,0
628,594,Gonçalo Bento_Soares Cardoso_594,2,19,0,0
629,595,Bernardo_Costa Da Rosa_595,3,19,0,0
630,606,Darren_Randolph_606,1,19,0,0
631,616,Tomas_Soucek_616,3,19,0,0
632,626,Jarrod_Bowen_626,3,19,0,0
633,651,Alfie_Lewis_651,3,19,0,0
634,664,Conor_Coventry_664,3,19,0,0
635,401,Matt_Doherty_401,2,20,60,199907
636,402,Jonathan_Castro Otto_402,2,20,55,70548
637,403,Conor_Coady_403,2,20,50,91016
638,405,Willy_Boly_405,2,20,50,381591
639,406,Rúben Gonçalo_Silva Nascimento Vinagre_406,2,20,45,17215
640,407,Romain_Saïss_407,2,20,45,17166
641,408,Max_Kilman_408,2,20,40,94477
642,409,Raúl_Jiménez_409,4,20,75,1293686
643,410,Diogo_Jota_410,4,20,65,760902
644,411,Rui Pedro_dos Santos Patrício_411,1,20,50,271369
645,412,John_Ruddy_412,1,20,45,29942
646,413,Will_Norris_413,1,20,40,46295
